,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
1,1.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10.437984569707792,10
6,1.0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,7.98316681250518,8
16,1.0,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,3.953383295257603,4
21,1.0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5.5614359965476545,5
23,1.0,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,5.861232612974636,6
24,1.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8.766004277787161,8
33,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9.7738459156402,9
34,1.0,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,6.795435333519644,7
44,1.0,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,6.996564210869943,7
46,1.0,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32,10.376310876584865,10
54,1.0,0.615,0.475,0.155,1.027,0.447,0.25,0.285,8.999807679571829,9
57,1.0,0.64,0.525,0.175,1.382,0.6459999999999999,0.3115,0.37,9.341205704903716,9
59,1.0,0.655,0.54,0.215,1.5555,0.695,0.29600000000000004,0.444,10.588935891693191,11
61,1.0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,9.736159110262083,10
63,1.0,0.585,0.46,0.145,0.8465,0.339,0.16699999999999998,0.295,9.72775266234392,10
66,1.0,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6.064418138946476,6
69,1.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8.72839831861812,8
71,1.0,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,10.114290675028187,11
74,1.0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9.86682895372955,9
78,1.0,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,7.724771324529686,8
79,1.0,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5.167720639329578,5
80,1.0,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,7.698275555788357,8
83,1.0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,8.758029183245691,9
86,1.0,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8.052087500844705,8
87,1.0,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,6.730848970182359,7
89,1.0,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8.364849203190706,8
90,1.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9.582130098854618,9
93,1.0,0.645,0.5,0.175,1.3375,0.5539999999999999,0.308,0.415,10.310338854436866,10
95,1.0,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,9.55983573103731,10
102,1.0,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,7.791251242707725,8
104,1.0,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6.6794679940957025,6
105,1.0,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365,5.312044553442129,5
107,1.0,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6.277122195221905,6
110,1.0,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6.1467723828954295,6
111,1.0,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815,9.1604119846741,10
114,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.219,8.36741550520175,8
116,1.0,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9.496951314895009,9
122,1.0,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,9.48027113371106,10
126,1.0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,10.237390970313813,11
132,1.0,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9.02873063283299,9
133,1.0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,4.966018114054519,5
139,1.0,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8.438178885411789,8
145,1.0,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,12.421425969359225,13
148,1.0,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10.348758513722405,10
152,1.0,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8.833315399593031,8
158,1.0,0.635,0.495,0.18,1.596,0.617,0.317,0.37,10.139092811988885,11
159,1.0,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,7.46306255888396,8
160,1.0,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,6.944570705493295,7
161,1.0,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,6.880107135061705,7
165,1.0,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8.133816153251331,8
168,1.0,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,9.397412939688632,10
173,1.0,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,7.709124013954228,8
182,1.0,0.51,0.385,0.135,0.632,0.282,0.145,0.17,7.607244773483081,8
197,1.0,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,7.75106992679763,8
198,1.0,0.6,0.485,0.145,0.7759999999999999,0.3545,0.1585,0.239,9.110763949709744,9
201,1.0,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8.103706380212307,8
213,1.0,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,9.948366568042083,10
215,1.0,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,11.406894241770283,12
