,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,12.811496269246282,13
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045,5.982364025564755,6
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7.085444651660275,7
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4.093874287794202,4
188,1.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8.012650013586155,8
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7.051150064981763,7
262,1.0,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,3.9224568043720276,4
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,11.700344271933407,12
424,1.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,5.943965175070958,6
450,1.0,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,12.912973625683865,13
611,1.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7.100813511665162,7
613,1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7.0241995075997945,7
657,1.0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,8.964119245478265,9
661,1.0,0.605,0.45,0.165,1.2225,0.35700000000000004,0.202,0.385,13.323858863403435,13
745,1.0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,6.952040289443818,7
865,1.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4.057886396933805,4
874,1.0,0.54,0.415,0.17,0.879,0.339,0.208,0.255,9.929250634540534,10
887,1.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04,5.923996060081771,6
959,1.0,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07,6.919811643139115,7
1004,1.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,5.946530309759526,6
1016,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,6.916463933932401,7
1020,1.0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4.029762525712406,4
1095,1.0,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10.13212364224222,10
1210,1.0,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,10.98494593486939,11
1215,1.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,10.988278088310793,11
1241,1.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16.625671383039844,16
1323,1.0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,11.908077423397167,12
1329,1.0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5.025348868470971,5
1375,1.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,16.761872039789687,17
1403,1.0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7.101626813319092,7
1425,1.0,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,4.925337892628996,5
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13.36590578225891,13
1454,1.0,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6.041553461421488,6
1461,1.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9.166660093904852,9
1466,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,13.822138555110032,14
1490,1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15.138759925895283,15
1515,1.0,0.615,0.485,0.215,0.9615,0.422,0.17600000000000002,0.29,10.949801758897648,11
1567,1.0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6.075170845569197,6
1588,1.0,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02,4.9726398171426025,5
1676,1.0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,15.766911181603545,16
1727,1.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,5.927533280186669,6
1774,1.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,5.998348994705008,6
1836,1.0,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14.026198267546043,14
1862,1.0,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,7.961347122537244,8
1878,1.0,0.355,0.275,0.09,0.251,0.097,0.053,0.08,6.909107639656614,7
1888,1.0,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10.101609962361273,10
1929,1.0,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,10.91587219088148,11
2035,1.0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,10.019518185462557,10
2103,1.0,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9.04381103356782,9
2213,1.0,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,12.77900388890624,13
2232,1.0,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6.071032495295229,6
2304,1.0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,13.811125171682558,14
2324,1.0,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11.13093154504264,11
2342,1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13.104751293062149,13
2393,1.0,0.58,0.45,0.235,1.071,0.3,0.206,0.395,13.923684681950787,14
2433,1.0,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4.081816138839107,4
2440,1.0,0.3,0.23,0.075,0.127,0.052000000000000005,0.03,0.0345,5.928678541931913,6
2454,1.0,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8.06205986230723,8
2524,1.0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6.076976575266362,6
2554,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10.055826920185412,10
2566,1.0,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,14.246233122729057,14
2575,1.0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,11.8028291576986,12
2611,1.0,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11.078211807427717,11
2727,1.0,0.645,0.51,0.2,1.5675,0.621,0.3670000000000001,0.46,12.018543721054286,12
2757,1.0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,9.928740174586649,10
2777,1.0,0.425,0.35,0.105,0.393,0.13,0.063,0.165,8.961949285672203,9
2805,1.0,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6.044675305814402,6
2807,1.0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,7.961388545298449,8
2820,1.0,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,5.951904359445876,6
