,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
2,1.0,1.13081,0.0,8.14,0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4,307,21.0,360.17,22.6
9,1.0,0.05372,0.0,13.92,0,0.4370000000000001,6.549,51.0,5.9604,4,289,16.0,392.85,7.39
10,1.0,0.06724,0.0,3.24,0,0.46,6.332999999999998,17.2,5.2146,4,430,16.9,375.21,7.34
12,1.0,0.04544,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09
13,1.0,0.05646,0.0,12.83,0,0.4370000000000001,6.232,53.7,5.0141,5,398,18.7,386.4,12.34
15,1.0,0.04666,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
21,1.0,0.22969,0.0,10.59,0,0.489,6.3260000000000005,52.5,4.3549,4,277,18.6,394.87,10.97
24,1.0,3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19
26,1.0,7.83932,0.0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
27,1.0,0.12816,12.5,6.07,0,0.409,5.885,33.0,6.497999999999998,4,345,18.9,396.9,8.79
31,1.0,0.77299,0.0,8.14,0,0.5379999999999999,6.495,94.4,4.4547,4,307,21.0,387.94,12.8
32,1.0,1.00245,0.0,8.14,0,0.5379999999999999,6.674,87.3,4.239,4,307,21.0,380.23,11.98
33,1.0,1.61282,0.0,8.14,0,0.5379999999999999,6.096,96.9,3.7598,4,307,21.0,248.31,20.34
35,1.0,0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2
37,1.0,0.26838,0.0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1
38,1.0,0.01965,80.0,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93
40,1.0,0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95
41,1.0,0.08664,45.0,3.44,0,0.4370000000000001,7.178,26.3,6.4798,5,398,15.2,390.49,2.87
