,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
34,1.0,7.5,3.2,2.4,4.6,5.3,0.8,1.34,9.958,3.14,5.0,9.1
134,1.0,5.8,2.8000000000000003,1.7999999999999998,1.2,5.800000000000001,0.7,1.08,9.928799999999999,3.23,5.8,9.55
181,1.0,8.8,3.5,4.9,1.0,3.6000000000000005,1.4,0.56,9.92,2.96,3.3000000000000003,10.5
237,1.0,8.5,2.0,4.0,1.1,4.6,3.1,1.06,9.9194,3.0,3.5,10.5
249,1.0,8.2,2.6,4.4,1.3,4.6,0.7,0.69,9.943999999999999,3.14,6.2,10.2
250,1.0,6.3,3.8,1.7000000000000002,8.8,8.0,5.0,2.12,9.9803,3.47,6.6000000000000005,9.4
258,1.0,9.4,2.9,5.5,2.2,5.0,1.7,1.19,9.962,3.12,6.8999999999999995,10.3
260,1.0,8.4,2.2,2.8000000000000003,18.8,2.8000000000000003,5.5,1.3,9.98,2.96,3.5,11.6
267,1.0,7.2,2.7,3.7,5.4,2.6,2.7,1.14,9.917399999999999,3.13,8.4,12.7
301,1.0,6.4,2.7,1.9,2.0,8.4,2.1,1.91,9.951600000000001,3.49,6.3,9.6
339,1.0,6.0,1.4000000000000001,3.7,1.2,3.2,6.3,1.48,9.9185,3.32,4.4,11.2
358,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0
389,1.0,5.5,1.9,2.7,0.9,4.0,5.2,1.03,9.9026,3.5,3.9000000000000004,11.2
420,1.0,7.6,3.3000000000000003,3.5999999999999996,2.1,3.4000000000000004,2.6,1.72,9.943999999999999,3.42,4.8,10.5
421,1.0,6.2,2.55,2.4,1.7,3.9,13.85,2.72,9.9452,3.53,5.300000000000001,9.6
494,1.0,7.4,2.8000000000000003,4.0,11.9,3.2,1.3,0.92,9.9629,3.01,4.6000000000000005,10.8
530,1.0,6.3,6.0,4.4,11.0,5.0,5.0,2.45,9.972,3.19,5.699999999999999,9.3
585,1.0,8.5,1.7999999999999998,3.0,1.1,2.8000000000000003,3.4,0.95,9.927200000000001,2.83,3.5999999999999996,10.0
603,1.0,6.2,2.3499999999999996,3.4000000000000004,1.9,3.6000000000000005,0.4,1.17,9.9032,3.4,4.4,12.2
