Unnamed: 0,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs),Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
91,n_heptane_oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,2.155,±1,Stanford,15.3,,OH,1494,±1,1330,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
92,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,92.2,2.0,CCCCCCC,1.2,431.0,Species,6.6,1.2,,Stanford,15.3,±5,CH,1456,±1,361,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
93,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.4,2.0,CCCCCCC,0.4,431.0,Species,2.2,1.26,,Stanford,15.3,±5,CH,1529,±1,442,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
94,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,92.2,2.0,CCCCCCC,1.2,431.0,Species,6.6,1.2,,Stanford,15.3,±5,CH,1423,±1,486,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
95,n_heptane_oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,2.86,±1,Stanford,15.3,,OH,1368,±1,1810,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
113,Haylett_2011_thesis,N2,76.433,1.89,CCCCCCCCCC,2.567,430.0,Species,21.0,4.93, ±9.6,Stanford,15.3, ±9.6,CH,1173, ±2,950,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
114,Haylett_2011_thesis,N2,77.56,1.06,CCCCCCCCCC,1.44,430.0,Species,21.0,5.14, ±9.6,Stanford,15.3, ±9.6,CH,1081, ±2,1696,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
115,Haylett_2011_thesis,N2,77.506,1.1,CCCCCCCCCC,1.494,430.0,Species,21.0,4.87, ±9.6,Stanford,15.3, ±9.6,CH,1131, ±2,1252,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
116,Haylett_2011_thesis,N2,77.105,1.4,CCCCCCCCCC,1.895,430.0,Species,21.0,5.15, ±9.6,Stanford,15.3, ±9.6,CH,1154, ±2,921,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
117,Haylett_2011_thesis,N2,77.528,1.09,CCCCCCCCCC,1.472,430.0,Species,21.0,4.56, ±9.6,Stanford,15.3, ±9.6,CH,1109, ±2,1358,2.0,8.0,,,,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0
