Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCCCCCCC,1127,±1,6.12,±9.3,0.6844,21,78.3156,0.6,N2,797,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1050,±1,7.88,±9.3,0.9365,21,78.0635,0.82,N2,1034,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1084,±1,8.02,±9.3,0.7871,21,78.2129,0.69,N2,738,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1114,±1,8.5,±9.3,0.6885,21,78.3115,0.61,N2,640,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1179,±1,8.53,±9.3,0.9497,21,78.0503,0.84,N2,220,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1167,±1,7.88,±9.3,1.0246,21,77.9754,0.9,N2,215,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1168,±1,6.37,±9.3,0.7339,21,78.2661,0.65,Ar,484,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1209,±1,4.64,±9.3,0.186,21,78.814,0.16,Ar,926,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1163,±1,4.93,±9.3,0.2534,21,78.7466,0.22,Ar,1800,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1192,±1,5.06,±9.3,0.3437,21,78.6563,0.3,Ar,1110,Speceis,CH,NaN,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
