Fuel,Primary Carbon,Secondary Carbon,Tertiary Carbon,Quaternary Carbon,T(K),T+AF8-Error(+ACU-),P(atm),P+AF8-Error(+ACU-),Fuel(+ACU-),Oxidizer(+ACU-),Diluant(+ACU-),Equv(phi),Diluant Type,Time(+A7w-s),Mode+AF8-of+AF8-measurement,Species+AF8-name,Species+AF8-measurement+AF8-Error,Measured+AF8-wavelength(nm),Shocktube+AF8-dia(cm),Research+AF8-group,Data+AF8-Source
CCCCCCCC,2,6,0,0,1325,+ALE-0.7,1.95,+ALE-1,0.32,4,95.68,1,Ar,859,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1265,+ALE-0.7,2.05,+ALE-1,0.32,4,95.68,1,Ar,1569,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1289,+ALE-0.7,2.01,+ALE-1,0.32,4,95.68,1,Ar,1198,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1385,+ALE-0.7,1.96,+ALE-1,0.32,4,95.68,1,Ar,390,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1455,+ALE-0.7,1.87,+ALE-1,0.32,4,95.68,1,Ar,166,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1282,+ALE-0.7,3.37,+ALE-1,0.32,4,95.68,1,Ar,1020,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1421,+ALE-0.7,3.59,+ALE-1,0.32,4,95.68,1,Ar,210,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1384,+ALE-0.7,3.63,+ALE-1,0.32,4,95.68,1,Ar,285,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1319,+ALE-0.7,3.75,+ALE-1,0.32,4,95.68,1,Ar,614,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1273,+ALE-0.7,3.81,+ALE-1,0.32,4,95.68,1,Ar,1064,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1434,+ALE-0.7,1.91,+ALE-1,0.16,4,95.84,0.5,Ar,104,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1307,+ALE-0.7,1.98,+ALE-1,0.16,4,95.84,0.5,Ar,663,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1273,+ALE-0.7,2.07,+ALE-1,0.16,4,95.84,0.5,Ar,988,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1252,+ALE-0.7,2.19,+ALE-1,0.16,4,95.84,0.5,Ar,1269,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCC,2,6,0,0,1380,+ALE-0.7,2.01,+ALE-1,0.16,4,95.84,0.5,Ar,220,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
C,0,0,0,0,2164,NaN,0.395,NaN,0.3007,0.6005,99.0988,1,Ar,600,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2238,NaN,0.541,NaN,0.3007,0.6005,99.0988,1,Ar,340,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2317,NaN,0.541,NaN,0.3007,0.6005,99.0988,1,Ar,235,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2470,NaN,0.512,NaN,0.3007,0.6005,99.0988,1,Ar,141,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2140,NaN,0.616,NaN,0.3007,1.2079,98.4914,0.5,Ar,304,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2298,NaN,0.559,NaN,0.3007,1.2079,98.4914,0.5,Ar,193,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2374,NaN,0.37,NaN,0.3007,1.2079,98.4914,0.5,Ar,238,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2408,NaN,0.496,NaN,0.3007,1.2079,98.4914,0.5,Ar,155,Species,CO2,NaN,0.0042,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,1951,NaN,1.066,NaN,0.2012,0.1,99.6988,4,Ar,530,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2075,NaN,1.011,NaN,0.2012,0.1,99.6988,4,Ar,256,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2264,NaN,1.024,NaN,0.2012,0.1,99.6988,4,Ar,83,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2401,NaN,0.939,NaN,0.2012,0.1,99.6988,4,Ar,42,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,1942,NaN,1.092,NaN,0.1,0.2011,99.6989,0.99,Ar,625,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,1989,NaN,1.09,NaN,0.0994,0.2021,99.6985,0.98,Ar,443,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,1997,NaN,1.032,NaN,0.0994,0.2021,99.6985,0.98,Ar,281,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2053,NaN,1.016,NaN,0.0994,0.2021,99.6985,0.98,Ar,230,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2169,NaN,0.99,NaN,0.1,0.2011,99.6989,0.99,Ar,129,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2224,NaN,1.039,NaN,0.0994,0.2021,99.6985,0.98,Ar,109,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2338,NaN,1.219,NaN,0.0994,0.2021,99.6985,0.98,Ar,34,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2503,NaN,0.924,NaN,0.1,0.2011,99.6989,0.99,Ar,35,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,1933,NaN,1.099,NaN,0.1,0.4034,99.4966,0.5,Ar,508,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2210,NaN,1.006,NaN,0.1,0.4034,99.4966,0.5,Ar,89,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2460,NaN,0.91,NaN,0.1,0.4034,99.4966,0.5,Ar,27.5,Species,CH3,NaN,216,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2056,NaN,1.036,NaN,0.0997,0.1996,99.7007,1,Ar,632,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2145,NaN,1.063,NaN,0.1002,0.2,99.6998,1,Ar,287,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2166,NaN,1.098,NaN,0.1002,0.2,99.6998,1,Ar,305,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2190,NaN,1.13,NaN,0.0997,0.1996,99.7007,1,Ar,230,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2216,NaN,1.081,NaN,0.1002,0.2,99.6998,1,Ar,195,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
C,0,0,0,0,2169,NaN,0.497,NaN,0.1007,0.2014,99.6979,1,Ar,590,Species,OH,NaN,306.7,14.13,Stanford,GRI+AF8-mech
