Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CC,2216.0,,0.62,,0.2012,0.7062,99.0926,1.0,Ar,133.0,Species,CO2,,0.0042,14.13,Stanford,GRI_mech
CC,2497.0,,0.537,,0.2012,0.7062,99.0926,1.0,Ar,68.0,Species,CO2,,0.0042,14.13,Stanford,GRI_mech
CC,1757.0,,1.179,,0.03,0.1052,99.8648,1.0,Ar,250.0,Species,OH,,306.7,14.13,Stanford,GRI_mech
CC,1817.0,,1.209,,0.03,0.1052,99.8648,1.0,Ar,195.0,Species,OH,,306.7,14.13,Stanford,GRI_mech
CC,2012.0,,1.183,,0.03,0.1052,99.8648,1.0,Ar,115.0,Species,OH,,306.7,14.13,Stanford,GRI_mech
CC,2450.0,,1.2,,0.01,0.1002,99.8898,0.35,Ar,70.0,Species,CH,,431.0,14.13,Stanford,Rate_Coefficient
CC,2121.0,,1.1,,0.015,0.0972,99.8878,0.54,Ar,100.0,Species,CH,,431.0,14.13,Stanford,Rate_Coefficient
CC,1232.0,±2.3,1.22,,1.75,6.14,92.11,1.0,Ar,966.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1307.0,±2.3,1.24,,1.75,6.14,92.11,1.0,Ar,508.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1384.0,±2.3,1.25,,1.75,6.14,92.11,1.0,Ar,279.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1426.0,±2.3,1.22,,1.75,6.14,92.11,1.0,Ar,194.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1467.0,±2.3,1.18,,1.75,6.14,92.11,1.0,Ar,183.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1172.0,±2.3,1.21,,1.75,6.14,92.11,1.0,Ar,1835.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1573.0,±2.3,1.2,,1.75,6.14,92.11,1.0,Ar,69.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1545.0,±2.3,1.23,,1.75,6.14,92.11,1.0,Ar,80.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1290.0,±2.3,5.5,,1.75,6.14,92.11,1.0,Ar,287.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1352.0,±2.3,5.45,,1.75,6.14,92.11,1.0,Ar,148.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1422.0,±2.3,5.44,,1.75,6.14,92.11,1.0,Ar,77.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
CC,1203.0,±2.3,5.39,,1.75,6.14,92.11,1.0,Ar,774.0,Species,CH,±2.3,430.0,11.5,Xi’an Jiaotong,C1_C4_Alkanes
