Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCC,1376.0,±1,1.19,±1,4.0,20.0,76.0,1.0,Ar,357.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1461.0,±1,1.15,±1,4.0,20.0,76.0,1.0,Ar,140.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1413.0,±1,1.16,±1,4.0,20.0,76.0,1.0,Ar,246.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1477.0,±1,1.12,±1,4.0,20.0,76.0,1.0,Ar,115.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1444.0,±1,1.26,±1,4.0,20.0,76.0,1.0,Ar,152.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1504.0,±1,1.14,±1,4.0,20.0,76.0,1.0,Ar,93.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1505.0,±1,2.21,,0.05,0.25,99.7,1.0,Ar,534.0,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1547.0,±1,2.17,,0.05,0.25,99.7,1.0,Ar,344.0,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1608.0,±1,2.19,,0.05,0.25,99.7,1.0,Ar,174.0,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1628.0,±1,2.24,,0.05,0.25,99.7,1.0,Ar,156.0,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1687.0,±1,2.13,,0.05,0.25,99.7,1.0,Ar,89.0,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1497.0,±1,2.15,,0.15,0.75,99.1,1.0,Ar,420.0,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1405.0,±0.7,5.46,±1,0.8,8.0,91.2,0.5,Ar,83.0,Species,OH,±1,306.7,15.3,Stanford,Lam_2013_thesis / propane_const_V
CCC,1366.0,±0.7,5.6,±1,0.8,8.0,91.2,0.5,Ar,170.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1339.0,±0.7,5.68,±1,0.8,8.0,91.2,0.5,Ar,230.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1303.0,±0.7,5.7,±1,0.8,8.0,91.2,0.5,Ar,400.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1281.0,±0.7,5.88,±1,0.8,8.0,91.2,0.5,Ar,590.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1250.0,±0.7,5.98,±1,0.8,8.0,91.2,0.5,Ar,890.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1234.0,±0.7,6.99,±1,0.8,8.0,91.2,0.5,Ar,940.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1223.0,±0.7,6.08,±1,0.8,8.0,91.2,0.5,Ar,1270.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1194.0,±0.7,6.13,±1,0.8,8.0,91.2,0.5,Ar,1790.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1189.0,±0.7,7.17,±1,0.8,8.0,91.2,0.5,Ar,1810.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1184.0,±0.7,7.17,±1,0.8,8.0,91.2,0.5,Ar,1820.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1147.0,±0.7,7.44,±1,0.8,8.0,91.2,0.5,Ar,2980.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1125.0,±0.7,7.29,±1,0.8,8.0,91.2,0.5,Ar,4260.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1081.0,±0.7,6.64,±1,0.8,8.0,91.2,0.5,Ar,6180.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1034.0,±0.7,7.06,±1,0.8,8.0,91.2,0.5,Ar,10510.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1006.0,±0.7,7.16,±1,0.8,8.0,91.2,0.5,Ar,15660.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,991.0,±0.7,7.16,±1,0.8,8.0,91.2,0.5,Ar,17790.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1381.0,±0.7,5.29,±1,0.8,8.0,91.2,0.5,Ar,150.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1341.0,±0.7,5.41,±1,0.8,8.0,91.2,0.5,Ar,270.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1273.0,±0.7,6.24,±1,0.8,8.0,91.2,0.5,Ar,680.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1260.0,±0.7,6.37,±1,0.8,8.0,91.2,0.5,Ar,830.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1208.0,±0.7,6.69,±1,0.8,8.0,91.2,0.5,Ar,1760.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1202.0,±0.7,5.26,±1,0.8,8.0,91.2,0.5,Ar,1750.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1170.0,±0.7,6.65,±1,0.8,8.0,91.2,0.5,Ar,2950.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1157.0,±0.7,5.64,±1,0.8,8.0,91.2,0.5,Ar,4040.0,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
