Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCC,1405.0,±1,1.19,±1,1.0,6.5,92.5,1.0,Ar,415.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1405.0,±1,1.18,±1,1.0,6.5,92.5,1.0,Ar,420.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1409.0,±1,1.17,±1,1.0,6.5,92.5,1.0,Ar,390.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1447.0,±1,1.14,±1,1.0,6.5,92.5,1.0,Ar,244.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1478.0,±1,1.2,±1,1.0,6.5,92.5,1.0,Ar,171.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1483.0,±1,1.32,±1,1.0,6.5,92.5,1.0,Ar,161.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1407.0,±1,1.99,±1,1.0,6.5,92.5,1.0,Ar,297.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1400.0,±1,2.03,±1,1.0,6.5,92.5,1.0,Ar,335.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1445.0,±1,2.02,±1,1.0,6.5,92.5,1.0,Ar,186.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1454.0,±1,2.0,±1,1.0,6.5,92.5,1.0,Ar,170.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1415.0,±1,3.8,±1,1.0,6.5,92.5,1.0,Ar,189.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1399.0,±1,3.81,±1,1.0,6.5,92.5,1.0,Ar,243.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1433.0,±1,3.75,±1,1.0,6.5,92.5,1.0,Ar,151.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1468.0,±1,1.97,±1,1.0,6.5,92.5,1.0,Ar,150.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1499.0,±1,1.14,±1,1.0,6.5,92.5,1.0,Ar,151.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1505.0,±1,1.12,±1,1.0,6.5,92.5,1.0,Ar,140.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1557.0,±1,1.13,±1,1.0,6.5,92.5,1.0,Ar,87.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1561.0,±1,1.17,±1,0.5,3.25,96.25,1.0,Ar,131.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1513.0,±1,1.18,±1,0.5,3.25,96.25,1.0,Ar,186.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1478.0,±1,1.2,±1,0.5,3.25,96.25,1.0,Ar,275.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1532.0,±1,1.33,±1,0.5,3.25,96.25,1.0,Ar,156.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1546.0,±1,1.37,±1,0.5,3.25,96.25,1.0,Ar,136.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1433.0,±1,1.27,±1,0.5,3.25,96.25,1.0,Ar,475.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1432.0,±1,1.17,±1,2.0,13.0,85.0,1.0,Ar,179.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1490.0,±1,1.19,±1,2.0,13.0,85.0,1.0,Ar,100.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1385.0,±1,1.18,±1,2.0,13.0,85.0,1.0,Ar,353.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1434.0,±1,1.15,±1,2.0,13.0,85.0,1.0,Ar,180.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1455.0,±1,1.15,±1,2.0,13.0,85.0,1.0,Ar,149.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1517.0,±1,1.16,±1,2.0,13.0,85.0,1.0,Ar,83.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1389.0,±1,1.12,±1,1.0,13.0,86.0,0.5,Ar,204.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1422.0,±1,1.08,±1,1.0,13.0,86.0,0.5,Ar,131.0,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
