Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCC,1284.0,±0.7,1.92,±1,0.42,4.0,95.58,1.0,Ar,1317.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1353.0,±0.7,1.9,±1,0.42,4.0,95.58,1.0,Ar,623.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1358.0,±0.7,1.76,±1,0.42,4.0,95.58,1.0,Ar,688.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1470.0,±0.7,1.77,±1,0.42,4.0,95.58,1.0,Ar,176.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1375.0,±0.7,1.86,±1,0.42,4.0,95.58,1.0,Ar,483.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1237.0,±0.7,1.93,±1,0.42,4.0,95.58,1.0,Ar,2706.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1273.0,±0.7,3.32,±1,0.42,4.0,95.58,1.0,Ar,1046.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1396.0,±0.7,3.6,±1,0.42,4.0,95.58,1.0,Ar,301.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1250.0,±0.7,3.1,±1,0.42,4.0,95.58,1.0,Ar,1805.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1386.0,±0.7,3.48,±1,0.42,4.0,95.58,1.0,Ar,291.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1407.0,±0.7,3.43,±1,0.42,4.0,95.58,1.0,Ar,263.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1475.0,±0.7,1.77,±1,0.21,4.0,95.79,0.5,Ar,78.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1274.0,±0.7,1.76,±1,0.21,4.0,95.79,0.5,Ar,1225.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1361.0,±0.7,1.89,±1,0.21,4.0,95.79,0.5,Ar,303.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1367.0,±0.7,1.67,±1,0.21,4.0,95.79,0.5,Ar,308.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCC,1403.0,±0.7,1.69,±1,0.21,4.0,95.79,0.5,Ar,196.0,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
