Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCC,1446.0,±1,1.15,,0.4,4.8,94.8,0.9,Ar,234.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1381.0,±1,1.18,,0.4,4.8,94.8,0.9,Ar,488.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1491.0,±1,1.23,,0.4,4.8,94.8,0.9,Ar,137.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1438.0,±1,1.22,,0.4,4.8,94.8,0.9,Ar,238.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1492.0,±1,1.22,,0.36,4.4,95.24,0.9,Ar,141.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1501.0,±1,1.25,,0.36,4.4,95.24,0.9,Ar,125.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1476.0,±1,1.25,,0.36,4.4,95.24,0.9,Ar,163.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1486.0,±1,1.23,,0.4,4.4,95.2,1.0,Ar,159.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1458.0,±1,1.27,,0.4,4.4,95.2,1.0,Ar,208.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1428.0,±1,1.27,,0.4,4.4,95.2,1.0,Ar,296.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1455.0,±1,1.2,,0.4,8.8,90.8,0.5,Ar,86.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1413.0,±1,1.32,,0.4,8.8,90.8,0.5,Ar,121.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1347.0,±1,1.3,,0.4,8.8,90.8,0.5,Ar,286.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1676.0,±1,1.22,,0.4,2.2,97.4,2.0,Ar,147.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1529.0,±1,1.26,,0.4,2.2,97.4,2.0,Ar,442.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
