Fuel,T(K),T+AF8-Error,P(atm),P+AF8-Error,Fuel(+ACU-),Oxidizer(+ACU-),Diluant(+ACU-),Equv(phi),Diluant Type,Time,Mode+AF8-of+AF8-measurement,Speceis+AF8-name,Speceis+AF8-measurement+AF8-Error,Measured+AF8-wavelength(nm),Shocktube+AF8-dia,Research+AF8-groue,Paper+AF8-Source
CCCCCCCCC,1307,+ALE-0.7,1.85,+ALE-1,0.286,4,95.714,1,Ar,1002,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1288,+ALE-0.7,1.68,+ALE-1,0.286,4,95.714,1,Ar,1351,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1384,+ALE-0.7,1.8,+ALE-1,0.286,4,95.714,1,Ar,382,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1367,+ALE-0.7,1.86,+ALE-1,0.286,4,95.714,1,Ar,499,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1330,+ALE-0.7,1.91,+ALE-1,0.286,4,95.714,1,Ar,780,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1348,+ALE-0.7,3.63,+ALE-1,0.286,4,95.714,1,Ar,405,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1263,+ALE-0.7,3.46,+ALE-1,0.286,4,95.714,1,Ar,1237,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1372,+ALE-0.7,3.58,+ALE-1,0.286,4,95.714,1,Ar,318,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1359,+ALE-0.7,3.45,+ALE-1,0.286,4,95.714,1,Ar,349,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1403,+ALE-0.7,1.67,+ALE-1,0.143,4,95.857,0.5,Ar,190,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1399,+ALE-0.7,1.78,+ALE-1,0.143,4,95.857,0.5,Ar,180,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1331,+ALE-0.7,1.75,+ALE-1,0.143,4,95.857,0.5,Ar,421,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1350,+ALE-0.7,1.87,+ALE-1,0.143,4,95.857,0.5,Ar,317,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1299,+ALE-0.7,1.81,+ALE-1,0.143,4,95.857,0.5,Ar,730,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1305,+ALE-0.7,1.92,+ALE-1,0.143,4,95.857,0.5,Ar,536,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1284,+ALE-0.7,1.96,+ALE-1,0.143,4,95.857,0.5,Ar,781,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1385,+ALE-0.7,1.84,+ALE-1,0.143,4,95.857,0.5,Ar,231,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
CCCCCCCCC,1470,+ALE-0.7,1.82,+ALE-1,0.143,4,95.857,0.5,Ar,93,Species,OH,+AAQAsQ-3,306,14.13,Stanford,Lam+AF8-2013+AF8-thesis / Normal+AF8-Alkanes+AF8-and+AF8-Simple+AF8-Oxygenates
