Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCCCCC,1470.0, ±1.5,1.23,,0.2,3.1,96.7,1.0,Ar,180.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCC,1445.0, ±1.5,1.24,,0.2,3.1,96.7,1.0,Ar,290.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCC,1397.0, ±1.5,1.26,,0.2,3.1,96.7,1.0,Ar,480.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCC,1456.0, ±1.5,1.24,,0.2,3.1,96.7,1.0,Ar,235.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCC,1434.0, ±1.5,1.23,,0.2,3.1,96.7,1.0,Ar,320.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCC,1516.0, ±1.5,1.22,,0.2,3.1,96.7,1.0,Ar,124.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCC,1479.0, ±1.5,2.19,,0.03,0.465,99.505,1.0,Ar,375.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1525.0, ±1.5,2.21,,0.03,0.465,99.505,1.0,Ar,154.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1574.0, ±1.5,2.12,,0.03,0.465,99.505,1.0,Ar,119.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1661.0, ±1.5,2.08,,0.03,0.465,99.505,1.0,Ar,87.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1706.0, ±1.5,2.15,,0.03,0.465,99.505,1.0,Ar,37.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1462.0, ±1.5,2.11,,0.03,0.5817,99.3883,0.8,Ar,206.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1526.0, ±1.5,2.03,,0.03,0.5817,99.3883,0.8,Ar,83.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1602.0, ±1.5,2.25,,0.03,0.3875,99.5825,1.2,Ar,124.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1706.0, ±1.5,2.17,,0.03,0.3875,99.5825,1.2,Ar,43.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1357.0, ±1.5,2.28,,0.2,3.1,96.7,1.0,Ar,341.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1404.0, ±1.5,2.2,,0.2,3.1,96.7,1.0,Ar,238.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1327.0, ±1.5,1.69,,0.0334,0.813,99.1536,0.64,Ar,1099.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1382.0, ±1.5,1.68,,0.0358,0.813,99.1512,0.68,Ar,621.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1524.0, ±1.5,1.61,,0.0365,0.813,99.1505,0.7,Ar,144.0,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCC,1081.0, ±2,5.14, ±9.6,1.44,21.0,77.56,1.06,N2,1696.0,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis
CCCCCCCCCC,1131.0, ±2,4.87, ±9.6,1.494,21.0,77.506,1.1,N2,1252.0,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis
CCCCCCCCCC,1154.0, ±2,5.15, ±9.6,1.895,21.0,77.105,1.4,N2,921.0,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis
CCCCCCCCCC,1109.0, ±2,4.56, ±9.6,1.472,21.0,77.528,1.09,N2,1358.0,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis
CCCCCCCCCC,1173.0, ±2,4.93, ±9.6,2.5669999999999997,21.0,76.433,1.89,N2,950.0,Species,CH, ±9.6,430.0,15.3,Stanford,Haylett_2011_thesis
