Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCCCCCCC,1127.0,±1,6.12,±9.3,0.6844,21.0,78.3156,0.6,N2,797.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1050.0,±1,7.88,±9.3,0.9365,21.0,78.0635,0.82,N2,1034.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1084.0,±1,8.02,±9.3,0.7871,21.0,78.2129,0.69,N2,738.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1114.0,±1,8.5,±9.3,0.6885,21.0,78.3115,0.61,N2,640.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1179.0,±1,8.53,±9.3,0.9497,21.0,78.0503,0.84,N2,220.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1167.0,±1,7.88,±9.3,1.0246,21.0,77.9754,0.9,N2,215.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1168.0,±1,6.37,±9.3,0.7339,21.0,78.2661,0.65,Ar,484.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1209.0,±1,4.64,±9.3,0.18600000000000003,21.0,78.814,0.16,Ar,926.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1163.0,±1,4.93,±9.3,0.2534,21.0,78.7466,0.22,Ar,1800.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1192.0,±1,5.06,±9.3,0.3437,21.0,78.6563,0.3,Ar,1110.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1078.0,±1,4.0,±9.3,0.2074,21.0,78.7926,0.18,Ar,5605.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,976.0,±1,4.87,±9.3,0.4056,21.0,78.5944,0.36,Ar,6220.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,903.0,±1,5.0,±9.3,0.9297,21.0,78.0703,0.82,Ar,7825.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1241.0,±1,4.79,±9.3,0.3488,21.0,78.6512,0.31,Ar,337.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1351.0,±1,4.51,±9.3,0.2064,21.0,78.7936,0.18,Ar,233.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,979.0,±1,5.04,±9.3,2.138,21.0,76.862,1.88,Ar,306.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1025.0,±1,6.06,±9.3,1.659,21.0,77.34100000000001,1.46,Ar,543.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,988.0,±1,6.46,±9.3,1.99,21.0,77.01,1.75,Ar,260.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1112.0,±1,5.65,±9.3,0.1905,21.0,78.8095,0.17,Ar,2281.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,838.0,±1,6.26,±9.3,1.504,21.0,77.49600000000001,1.32,Ar,5352.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,939.0,±1,6.31,±9.3,1.8019999999999998,21.0,77.19800000000001,1.59,Ar,544.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
