Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCCCCCCCCCCC,1267.0,±2,6.54,,0.0497,1.0,98.9503,1.22,Ar,1902.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1172.0,±2,4.44,,0.0312,1.0,98.9688,0.76,Ar,4577.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1170.0,±2,4.6,,0.0326,1.0,98.9674,0.8,Ar,5022.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1333.0,±2,6.77,,0.0493,1.0,98.9507,1.21,Ar,917.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1327.0,±2,6.46,,0.1832,4.0,95.8168,1.12,Ar,360.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1355.0,±2,4.19,,0.1023,4.0,95.8977,0.63,Ar,212.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1183.0,±2,2.05,,0.1207,4.0,95.8793,0.74,Ar,4264.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1159.0,±2,2.06,,0.092,4.0,95.90799999999999,0.56,Ar,3870.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1181.0,±2,2.13,,0.1776,4.0,95.8224,1.09,Ar,5536.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1266.0,±2,1.94,,0.1168,4.0,95.8832,0.72,Ar,1122.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1212.0,±2,1.91,,0.0909,4.0,95.9091,0.56,Ar,2270.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1247.0,±2,1.83,,0.1485,4.0,95.8515,0.91,Ar,2060.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1285.0,±2,1.89,,0.1582,4.0,95.8418,0.97,Ar,1386.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1353.0,±2,1.71,,0.1565,4.0,95.8435,0.96,Ar,708.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1165.0,±2,2.08,,0.129,4.0,95.87100000000001,0.79,Ar,4548.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1177.0,±2,2.03,,0.1571,4.0,95.8429,0.96,Ar,4778.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1218.0,±2,1.96,,0.1165,4.0,95.8835,0.71,Ar,2657.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCCCCCC,1231.0,±2,1.86,,0.1254,4.0,95.8746,0.77,Ar,2137.0,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
