Fuel(C),Bonds,Data (Ea/R),Data (Ea),Simulation,Simulation5,Simulation10,
3,2,13964.1505,27.7467670435,23.3217147952,23.8962926583,23.9098653013,0.013572643
4,4,13017.04525,25.8648689118,22.905516214,23.4189642279,23.1254247284,0.2935394995
5,6,12701.3435,25.2375695345,20.6850350736,21.266674052,21.1375411767,0.1291328753
6,8,12543.492625,24.9239198459,20.2050884904,20.8588131732,20.8043758407,0.0544373325
7,10,12448.7821,24.7357300327,19.2818735384,21.6213711724,21.3685424251,0.2528287473
8,12,12385.64175,24.6102701573,20.1265005872,20.6305040928,20.5477142887,0.0827898041
9,14,12340.5415,24.5206559605,20.0403752207,20.5440149339,20.5832230088,0.0392080749
10,16,12306.7163125,24.4534453129,19.7300137045,20.1682849845,20.17878326,0.0104982755
11,18,12280.4078333333,24.4011703648,19.8421292409,20.2896696034,20.3661732235,0.0765036201
12,20,12259.36105,24.3593504064,19.5902825543,20.8588131732,20.0763117584,0.7825014148
13,22,12242.1409545455,24.3251340767,19.634465877,20.0491112959,20.1706415341,0.1215302382
14,24,12227.790875,24.2966204686,19.4968303575,19.8999276398,20.0205991347,0.1206714949
15,26,12215.6485,24.2724935695,19.5321727811,19.9345388684,20.0803548437,0.1458159753
16,28,12205.24075,24.2518133703,19.4591819892,19.8604766606,20.0160588666,0.155582206
