Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),P_S,S_S,P_H,S_H,Time(μs)
CCC,1376,±1,1.19,±1,4,20,2,0,6,2,357
CCCC,1409,±1,1.17,±1,1,6.5,2,1,6,4,390
CCCCC,1395,±0.7,3.47,±1,0.5,4,2,2,6,6,316
CCCCCC,1273,±0.7,3.32,±1,0.42,4,2,3,6,8,1046
CCCCCCC,1378,±1,2.326,±1,0.03,0.33,2,4,6,10,1330
CCCCCCCC,1289,±0.7,2.01,±1,0.32,4,2,5,6,12,1198
CCCCCCCCC,1107,±0.7,14.8,±1,0.4,4,2,6,6,14,965
CCCCCCCCCC,1081, ±2,5.14, ±9.6,1.44,21,2,7,6,16,1696
CCCCCCCCCCCC,1045,±1,6.71,±9.3,0.6098,21,2,9,6,20,2753
CCCCCCCCCCCCCCCC,1181,±2,2.13,±1,0.1776,4,2,13,6,28,5536
