Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
102.88,-19.5055,-6.5018,-1.3256,2.5881,-42.909,0.894409149079645,0.9092984524211474,-0.1404,-0.342,-1.0435
103.6939,-19.6767,-6.5589,-1.3532,2.6028,-43.2511,0.9068282218724188,0.9060364418118152,-0.1683,-0.3252,-1.0549
102.0124,-19.3288,-6.4429,-1.3091,2.5669,-42.5188,0.8857894234432805,0.9101515600741559,-0.1297,-0.348,-1.0379
101.5182,-19.1752,-6.3917,-1.2958,2.548,-42.3529,0.8656076286249108,0.91578734162772,-0.1267,-0.3483,-1.0413
102.5166,-19.3882,-6.4627,-1.3219999999999998,2.5704,-42.763999999999996,0.8909000572056844,0.9104881839309013,-0.1382,-0.3446,-1.0507
101.3924,-19.1489,-6.382999999999999,-1.308,2.5375,-42.271,0.8906129599628391,0.9097527050577152,-0.1503,-0.3276,-1.0506
101.8355,-19.2446,-6.4149,-1.3095,2.5527,-42.4864,0.8875278680911072,0.9101980691743208,-0.1454,-0.3402,-1.0402
101.6854,-19.2148,-6.4049,-1.3111,2.5469,-42.3865,0.8950461307795686,0.9087495539151872,-0.1411,-0.3401,-1.0477
102.5782,-19.4355,-6.4785,-1.3172,2.5806,-42.7831,0.8796705994941808,0.9120051116210578,-0.1347,-0.3497,-1.0399
101.6553,-19.201,-6.4003,-1.3071,2.5466,-42.3969,0.89872535590445,0.9078991131497278,-0.1424,-0.3453,-1.0412
100.4442,-18.9587,-6.3196,-1.291,2.5143,-41.8288,0.9014963625441816,0.9058070730509752,-0.1357,-0.3442,-1.0397
102.3037,-19.3534,-6.4511,-1.3229,2.5641,-42.6832,0.9079437645335672,0.9062089074134008,-0.1595,-0.3279,-1.0476
101.6052,-19.1905,-6.3968,-1.3076,2.5446,-42.3622,0.9061197629675348,0.9060645623452636,-0.14,-0.3466,-1.0439
101.4326,-19.1833,-6.3944,-1.3141,2.5402,-42.2765,0.8941188379372526,0.9075809756985056,-0.1612,-0.3146,-1.0454
102.3908,-19.374000000000002,-6.4579999999999975,-1.3161,2.5709,-42.6875,0.8826077496570208,0.9113778778054727,-0.1255,-0.3569,-1.0461
102.2676,-19.351,-6.4503,-1.3179,2.5662,-42.6322,0.8907061664149937,0.909668821167116,-0.1368,-0.3497,-1.0464
101.7269,-19.2243,-6.4081,-1.3054,2.5513,-42.4156,0.9071130338779616,0.9067453178387758,-0.1354,-0.3505,-1.0441
101.4472,-19.1446,-6.3815,-1.3074,2.5371,-42.3082,0.9220898730979256,0.9023934374228572,-0.1465,-0.3408,-1.0453
103.4532,-19.6042,-6.5347,-1.334,2.6004,-43.1723,0.9040388508134496,0.9081693645138972,-0.1426,-0.3493,-1.0504
101.8151,-19.2347,-6.4116,-1.3087,2.5514,-42.4661,0.9079794894712248,0.9065775585241396,-0.1424,-0.3463,-1.0448
103.5867,-19.6627,-6.5542,-1.3354,2.6094,-43.1964,0.8745910684208058,0.9139305268145724,-0.1284,-0.353,-1.0483
102.6692,-19.4511,-6.4837,-1.3254,2.5791,-42.8068,0.9115763376931352,0.9048774579411134,-0.1377,-0.3436,-1.0453
101.3918,-19.1909,-6.397,-1.2979,2.5495,-42.2577,0.8746763196658787,0.912873873196384,-0.1337,-0.3413,-1.0376
102.8516,-19.4956,-6.4985,-1.328,2.5853,-42.8845,0.9059948058363372,0.9060625761858558,-0.1379,-0.3456,-1.0443
101.8211,-19.2565,-6.4188,-1.3041,2.5574,-42.4374,0.8844983662669729,0.9114483413491279,-0.1219,-0.359,-1.0421
101.6929,-19.2063,-6.4021,-1.3136,2.5443,-42.3862,0.910701421358036,0.9050905926244264,-0.1405,-0.3419,-1.0525
102.1292,-19.3275,-6.4425,-1.3163,2.5631,-42.6125,0.8906715398901275,0.9095977804819728,-0.1518,-0.32799999999999996,-1.0409
