1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.467941
1.538462,0.09389046
1.428571,0.08076933
1.333333,0.2193211
1.25,0.3645393
1.176471,0.2101678
1.111111,0.08146415
1.052632,0.03438346
1.0,0.01776504
0.952381,0.01001473
0.9090909,0.005366623
0.8695652,0.002717608
0.8333333,0.001366909
0.8,7.019434E-4
0.7692308,3.706892E-4
0.7407407,2.019011E-4
0.7142857,1.139829E-4
0.6896552,6.712466E-5
0.6666667,4.143787E-5
0.6451613,2.675611E-5
0.625,1.806606E-5
0.6060606,1.265958E-5
0.5882353,9.223622E-6
0.5714286,6.853286E-6
0.5555556,5.253559E-6
0.5405405,4.1055E-6
0.5263158,3.298378E-6
0.5128205,2.668647E-6
0.5,2.19141E-6
0.4878049,1.875958E-6
0.4761905,1.575653E-6
0.4651163,1.334617E-6
0.4545455,1.176831E-6
0.4444444,1.006726E-6
0.4347826,9.15337E-7
0.4255319,7.963439E-7
0.4166667,7.134767E-7
