Fuel(C),Bonds,Simulation_5_Half,Simulation_10_Half,Simulation_5_Full,Simulation_10_Full
3,2,19.2780841322,18.8727210588,24.0504243876,23.8172751444
4,4,19.1914407777,14.8649009038,23.3113949676,22.9010335392
5,6,13.6413653414,12.9405797652,21.4673533294,21.1664862412
6,8,12.8516406332,12.2290832426,20.2104056197,19.8484835363
7,10,12.4920927682,11.9558497011,21.6661966703,21.1989374013
8,12,12.1035335027,11.994299312,20.7577325885,20.6264745731
9,14,12.0334630282,11.9261918787,20.7466042765,20.7150245527
10,16,11.8849707617,11.8047337155,20.3133141198,20.2688678507
11,18,11.8421395205,11.7780576434,20.471450479,20.4751195394
12,20,11.7631693602,11.7180271627,20.1635600883,20.1717161819
13,22,11.7352121705,11.7079864003,20.2290204955,20.2764259905
14,24,11.6678319417,11.659115095,20.0630001446,20.1138000119
15,26,11.6657982666,11.6672387084,20.1094381355,20.1804032084
16,28,11.642262883,11.6535895744,20.0274546673,20.1082914438
