1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2189118
1.538462,0.03325679
1.428571,0.007192476
1.333333,0.002574292
1.25,0.002194218
1.176471,0.003691353
1.111111,0.00695398
1.052632,0.007672933
1.0,0.004504076
0.952381,0.002330576
0.9090909,0.001201221
0.8695652,6.231762E-4
0.8333333,3.247822E-4
0.8,1.712007E-4
0.7692308,9.197183E-5
0.7407407,5.073607E-5
0.7142857,2.900198E-5
0.6896552,1.73133E-5
0.6666667,1.080333E-5
0.6451613,7.027845E-6
0.625,4.729745E-6
0.6060606,3.268356E-6
0.5882353,2.323217E-6
0.5714286,1.69747E-6
0.5555556,1.270358E-6
0.5405405,9.804309E-7
0.5263158,7.739587E-7
0.5128205,6.28801E-7
0.5,5.176487E-7
0.4878049,4.343936E-7
0.4761905,3.714982E-7
0.4651163,3.214705E-7
0.4545455,2.833531E-7
0.4444444,2.507038E-7
0.4347826,2.21493E-7
0.4255319,2.018209E-7
0.4166667,1.78127E-7
