1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.3092511
1.538462,0.05054697
1.428571,0.02107317
1.333333,0.03075307
1.25,0.07026832
1.176471,0.07664491
1.111111,0.0375794
1.052632,0.01610338
1.0,0.008127722
0.952381,0.004741206
0.9090909,0.00279565
0.8695652,0.0015487
0.8333333,8.224833E-4
0.8,4.343953E-4
0.7692308,2.324166E-4
0.7407407,1.267452E-4
0.7142857,7.076853E-5
0.6896552,4.080414E-5
0.6666667,2.446027E-5
0.6451613,1.539596E-5
0.625,1.017148E-5
0.6060606,7.0208E-6
0.5882353,5.07059E-6
0.5714286,3.755123E-6
0.5555556,2.867554E-6
0.5405405,2.260887E-6
0.5263158,1.800214E-6
0.5128205,1.457274E-6
0.5,1.17858E-6
0.4878049,9.774652E-7
0.4761905,8.48417E-7
0.4651163,7.220377E-7
0.4545455,6.277031E-7
0.4444444,5.480228E-7
0.4347826,4.7094E-7
0.4255319,4.383384E-7
0.4166667,3.873435E-7
