1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2026442
1.538462,0.03107633
1.428571,0.006632983
1.333333,0.002200003
1.25,0.001531938
1.176471,0.002200426
1.111111,0.003975811
1.052632,0.005268846
1.0,0.00355281
0.952381,0.001928973
0.9090909,0.001016334
0.8695652,5.322863E-4
0.8333333,2.782804E-4
0.8,1.467331E-4
0.7692308,7.881401E-5
0.7407407,4.345988E-5
0.7142857,2.481326E-5
0.6896552,1.477986E-5
0.6666667,9.20627E-6
0.6451613,5.981638E-6
0.625,4.025376E-6
0.6060606,2.790451E-6
0.5882353,1.987655E-6
0.5714286,1.453852E-6
0.5555556,1.088434E-6
0.5405405,8.375473E-7
0.5263158,6.577301E-7
0.5128205,5.319434E-7
0.5,4.376563E-7
0.4878049,3.704704E-7
0.4761905,3.127737E-7
0.4651163,2.692351E-7
0.4545455,2.366949E-7
0.4444444,2.084609E-7
0.4347826,1.817602E-7
0.4255319,1.685706E-7
0.4166667,1.513674E-7
