1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.8649405
1.538462,0.2135471
1.428571,0.261158
1.333333,0.6779447
1.25,0.7119399
1.176471,0.3219631
1.111111,0.1223069
1.052632,0.04943122
1.0,0.0230241
0.952381,0.01223276
0.9090909,0.006789984
0.8695652,0.003657002
0.8333333,0.001903584
0.8,9.781038E-4
0.7692308,5.039486E-4
0.7407407,2.637285E-4
0.7142857,1.422623E-4
0.6896552,8.020968E-5
0.6666667,4.772808E-5
0.6451613,2.996806E-5
0.625,1.98164E-5
0.6060606,1.368373E-5
0.5882353,9.849853E-6
0.5714286,7.250011E-6
0.5555556,5.502853E-6
0.5405405,4.252212E-6
0.5263158,3.3837E-6
0.5128205,2.769103E-6
0.5,2.291613E-6
0.4878049,1.879437E-6
0.4761905,1.597545E-6
0.4651163,1.337779E-6
0.4545455,1.174493E-6
0.4444444,1.034976E-6
0.4347826,9.230205E-7
0.4255319,8.092578E-7
0.4166667,7.206347E-7
