1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.1217807
1.538462,0.02565261
1.428571,0.0146139
1.333333,0.02300159
1.25,0.05699186
1.176471,0.08824147
1.111111,0.0554528
1.052632,0.02526681
1.0,0.01170048
0.952381,0.005912247
0.9090909,0.003162886
0.8695652,0.001710389
0.8333333,9.245634E-4
0.8,5.062193E-4
0.7692308,2.841283E-4
0.7407407,1.642574E-4
0.7142857,9.795031E-5
0.6896552,6.021132E-5
0.6666667,3.803575E-5
0.6451613,2.468247E-5
0.625,1.643395E-5
0.6060606,1.12268E-5
0.5882353,7.890788E-6
0.5714286,5.70334E-6
0.5555556,4.249303E-6
0.5405405,3.238208E-6
0.5263158,2.543941E-6
0.5128205,2.084987E-6
0.5,1.709856E-6
0.4878049,1.435727E-6
0.4761905,1.224509E-6
0.4651163,1.063188E-6
0.4545455,9.558836E-7
0.4444444,8.174831E-7
0.4347826,7.356102E-7
0.4255319,6.671284E-7
0.4166667,6.336397E-7
