1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.221356
1.538462,0.03386755
1.428571,0.007838688
1.333333,0.003722041
1.25,0.004653315
1.176471,0.009265708
1.111111,0.01607536
1.052632,0.01349104
1.0,0.007307923
0.952381,0.003712131
0.9090909,0.001867637
0.8695652,9.353554E-4
0.8333333,4.716782E-4
0.8,2.424635E-4
0.7692308,1.278348E-4
0.7407407,6.963902E-5
0.7142857,3.961329E-5
0.6896552,2.36863E-5
0.6666667,1.486675E-5
0.6451613,9.709048E-6
0.625,6.55681E-6
0.6060606,4.556276E-6
0.5882353,3.252793E-6
0.5714286,2.400152E-6
0.5555556,1.807497E-6
0.5405405,1.41178E-6
0.5263158,1.127699E-6
0.5128205,9.248618E-7
0.5,7.726328E-7
0.4878049,6.504104E-7
0.4761905,5.656609E-7
0.4651163,4.868377E-7
0.4545455,4.337383E-7
0.4444444,3.801893E-7
0.4347826,3.416174E-7
0.4255319,3.114068E-7
0.4166667,2.789181E-7
